thing_name,year_start,year_end,source_url
*NSYNC,1995,2002,https://twitter.com/OutlivedDixie/status/1271525176480460806
Betamax production,1975,2016,https://twitter.com/OutlivedDixie/status/1271857364027703299
Dungeons & Dragons: 4th Edition,2007,2013,https://twitter.com/OutlivedDixie/status/1271450684584374273
Game of Thrones,2011,2019,https://twitter.com/LongerThanCSA/status/1271827803298836480
Jennifer Aniston & Brad Pitt's Marriage,2000,2005,https://www.buzzfeed.com/iramadison/the-south-will-request-that-nsync-video-again#6073695
My Little Pony: Friendship Is Magic,2010,2019,https://twitter.com/OutlivedDixie/status/1271487433150918657
Netflix,2010,,https://twitter.com/ConfederacySux/status/1271827815734734849
Netscape Navigator,1994,2003,https://twitter.com/LongerThanCSA/status/1271658571793608705
New Coke,1985,1992,https://twitter.com/LongerThanCSA/status/1271657967532888064
Nirvana,1987,1994,
Pokémon GO,2016,,https://twitter.com/lifeasasleeper/status/1271283975999324160
The Microsoft Zune,2006,2012,https://www.buzzfeed.com/iramadison/the-south-will-request-that-nsync-video-again#6073357
The Noid as the Domino's Pizza mascot,1986,1995,https://twitter.com/OdsAndBodkins/status/1272208639185600512
The Obama Presidency,2009,2017,,
The Shrek Franchise,2001,2010,https://twitter.com/LongerThanCSA/status/1271825861453459463
The Tamagotchi,1996,,https://twitter.com/OdsAndBodkins/status/1272208639185600512
The United States of America,1776,,
Total Request Live,1998,2008,https://www.buzzfeed.com/iramadison/the-south-will-request-that-nsync-video-again#6073484
